,auc,label,model
2,0.8379010695187166,Cardiomegaly,DenseNet121
5,0.9142857142857143,Edema,DenseNet121
6,0.8738970588235295,Consolidation,DenseNet121
8,0.8174278215223097,Atelectasis,DenseNet121
10,0.9165534420289856,Pleural Effusion,DenseNet121
16,0.8364527629233511,Cardiomegaly,DenseNet169
19,0.9322916666666666,Edema,DenseNet169
20,0.8648897058823529,Consolidation,DenseNet169
22,0.7926509186351706,Atelectasis,DenseNet169
24,0.9151947463768115,Pleural Effusion,DenseNet169
30,0.8407976827094474,Cardiomegaly,DenseNet201
33,0.9206845238095238,Edema,DenseNet201
34,0.8654411764705883,Consolidation,DenseNet201
36,0.7751181102362203,Atelectasis,DenseNet201
38,0.9249320652173914,Pleural Effusion,DenseNet201
44,0.8113859180035651,Cardiomegaly,VGG16
47,0.9386904761904762,Edema,VGG16
48,0.8777573529411764,Consolidation,VGG16
50,0.8100787401574802,Atelectasis,VGG16
52,0.919044384057971,Pleural Effusion,VGG16
58,0.8013591800356505,Cardiomegaly,VGG19
61,0.9318452380952381,Edema,VGG19
62,0.8806985294117647,Consolidation,VGG19
64,0.8049343832020998,Atelectasis,VGG19
66,0.9329710144927537,Pleural Effusion,VGG19
72,0.8137254901960784,Cardiomegaly,Xception
75,0.9056547619047619,Edema,Xception
76,0.8709558823529412,Consolidation,Xception
78,0.8053543307086615,Atelectasis,Xception
80,0.9237998188405797,Pleural Effusion,Xception
86,0.8130570409982175,Cardiomegaly,InceptionResNetV2
89,0.9279761904761905,Edema,InceptionResNetV2
90,0.883639705882353,Consolidation,InceptionResNetV2
92,0.7731233595800526,Atelectasis,InceptionResNetV2
94,0.9189311594202899,Pleural Effusion,InceptionResNetV2
