,label,magnitude,method,model,param_var,single_model_auc
0,No Finding,0.0,NO_TTA,DenseNet121,0.0,0.8994755244755244
1,Enlarged Cardiomediastinum,0.0,NO_TTA,DenseNet121,0.0,0.5795778105056455
2,Cardiomegaly,0.0,NO_TTA,DenseNet121,0.0,0.8379010695187166
3,Lung Opacity,0.0,NO_TTA,DenseNet121,0.0,0.8985419808949221
4,Lung Lesion,0.0,NO_TTA,DenseNet121,0.0,0.14925373134328357
5,Edema,0.0,NO_TTA,DenseNet121,0.0,0.9142857142857143
6,Consolidation,0.0,NO_TTA,DenseNet121,0.0,0.8738970588235295
7,Pneumonia,0.0,NO_TTA,DenseNet121,0.0,0.6817010309278351
8,Atelectasis,0.0,NO_TTA,DenseNet121,0.0,0.8174278215223097
9,Pneumothorax,0.0,NO_TTA,DenseNet121,0.0,0.7787545787545787
10,Pleural Effusion,0.0,NO_TTA,DenseNet121,0.0,0.9165534420289856
11,Pleural Other,0.0,NO_TTA,DenseNet121,0.0,0.8308457711442786
12,Fracture,0.0,NO_TTA,DenseNet121,0.0,
13,Support Devices,0.0,NO_TTA,DenseNet121,0.0,0.8884966166519566
14,No Finding,0.0,NO_TTA,DenseNet169,0.0,0.9042832167832168
15,Enlarged Cardiomediastinum,0.0,NO_TTA,DenseNet169,0.0,0.5168384879725086
16,Cardiomegaly,0.0,NO_TTA,DenseNet169,0.0,0.8364527629233511
17,Lung Opacity,0.0,NO_TTA,DenseNet169,0.0,0.9138260432378079
18,Lung Lesion,0.0,NO_TTA,DenseNet169,0.0,0.09452736318407962
19,Edema,0.0,NO_TTA,DenseNet169,0.0,0.9322916666666666
20,Consolidation,0.0,NO_TTA,DenseNet169,0.0,0.8648897058823529
21,Pneumonia,0.0,NO_TTA,DenseNet169,0.0,0.705541237113402
22,Atelectasis,0.0,NO_TTA,DenseNet169,0.0,0.7926509186351706
23,Pneumothorax,0.0,NO_TTA,DenseNet169,0.0,0.8879120879120879
24,Pleural Effusion,0.0,NO_TTA,DenseNet169,0.0,0.9151947463768115
25,Pleural Other,0.0,NO_TTA,DenseNet169,0.0,0.6965174129353233
26,Fracture,0.0,NO_TTA,DenseNet169,0.0,
27,Support Devices,0.0,NO_TTA,DenseNet169,0.0,0.8832990095126017
28,No Finding,0.0,NO_TTA,DenseNet201,0.0,0.8946678321678322
29,Enlarged Cardiomediastinum,0.0,NO_TTA,DenseNet201,0.0,0.5304860088365243
30,Cardiomegaly,0.0,NO_TTA,DenseNet201,0.0,0.8407976827094474
31,Lung Opacity,0.0,NO_TTA,DenseNet201,0.0,0.8916038210155858
32,Lung Lesion,0.0,NO_TTA,DenseNet201,0.0,0.31343283582089554
33,Edema,0.0,NO_TTA,DenseNet201,0.0,0.9206845238095238
34,Consolidation,0.0,NO_TTA,DenseNet201,0.0,0.8654411764705883
35,Pneumonia,0.0,NO_TTA,DenseNet201,0.0,0.76159793814433
36,Atelectasis,0.0,NO_TTA,DenseNet201,0.0,0.7751181102362203
37,Pneumothorax,0.0,NO_TTA,DenseNet201,0.0,0.8534798534798534
38,Pleural Effusion,0.0,NO_TTA,DenseNet201,0.0,0.9249320652173914
39,Pleural Other,0.0,NO_TTA,DenseNet201,0.0,0.9253731343283582
40,Fracture,0.0,NO_TTA,DenseNet201,0.0,
41,Support Devices,0.0,NO_TTA,DenseNet201,0.0,0.8949691085613416
42,No Finding,0.0,NO_TTA,VGG16,0.0,0.9016608391608392
43,Enlarged Cardiomediastinum,0.0,NO_TTA,VGG16,0.0,0.5555228276877762
44,Cardiomegaly,0.0,NO_TTA,VGG16,0.0,0.8113859180035651
45,Lung Opacity,0.0,NO_TTA,VGG16,0.0,0.8792357968828556
